id,state,union,emplys,actual_fatal,expected_fatal,residual,perform,risk_rate
48,Texas,1,99594239,4593,4014.422158441758899348239221,578.577841558241100651760779,1.144124812668636301911946,0.5809350494241349649
28,Mississippi,1,10877847,726,382.248089354161915377100871,343.751910645838084622899129,1.89929006898800687349022,3.1601098144314595032
22,Louisiana,1,18425979,1127,791.175013019008638709016204,335.824986980991361290983796,1.424463590804684432378865,1.8225625188273109466
05,Arkansas,1,11327985,707,410.067910356830086796566268,296.932089643169913203433732,1.724104671796404601170873,2.6212260136570618093
01,Alabama,1,18543188,944,651.985527262938186120376421,292.014472737061813879623579,1.4478849000881207761223,1.5747803060458741716
40,Oklahoma,1,14843858,883,598.272030684562759411184721,284.727969315437240588815279,1.475917232817389150617668,1.9181534161498799072
21,Kentucky,0,17415400,930,655.965593513696962392256484,274.034406486303037607743516,1.417757286656500577211018,1.5735177284834286758
45,South Carolina,1,17994925,888,627.044700786279216625666311,260.955299213720783374333689,1.416166979621225307625257,1.4501605270025898045
12,Florida,1,73944271,2916,2668.218019548000436280218766,247.781980451999563719781234,1.092864218229803481293043,0.335092870753975739
29,Missouri,0,26303854,1141,907.471006797545582319832912,233.528993202454417680167088,1.257340445538392972291617,0.8878128399072410365
54,West Virginia,0,6957791,514,295.386716806004445518872307,218.613283193995554481127693,1.740091787328304512524207,3.1419926697136426559
56,Wyoming,1,2650654,322,158.999742229335110434433505,163.000257770664889565566495,2.025160515892909998811477,6.1494354891534274019
13,Georgia,1,38622530,1531,1371.425993897619248141837556,159.574006102380751858162444,1.116356264802060761969198,0.4131630064171890134
20,Kansas,1,13080140,614,456.131961886081007511190823,157.868038113918992488809177,1.346101679569094846995188,1.2069292692120955318
47,Tennessee,1,26433376,1117,963.721580707159058717693824,153.278419292840941282306176,1.15904844548605873522296,0.57986698064159849
35,New Mexico,0,7766620,454,309.855782907892178460724131,144.144217092107821539275869,1.465197763099216302454129,1.8559452772519811905
08,Colorado,0,22010121,956,821.943744671241952679478656,134.056255328758047320521344,1.163096630636659175663154,0.6090664168941099748
30,Montana,0,4160070,289,163.02568092766106694748788,125.97431907233893305251212,1.772726838836128941641766,3.0281778689382374107
18,Indiana,1,28072385,1127,1003.326578484484797402202175,123.673421515515202597797825,1.123263376220255944164389,0.4405518858319847159
37,North Carolina,1,38489669,1420,1310.867163747017553018111619,109.132836252982446981888381,1.083252399076832656567678,0.2835379962685115504
02,Alaska,0,3094234,238,153.364462462503224741658794,84.635537537496775258341206,1.551858860772192925300673,2.7352662254211147334
19,Iowa,1,14381255,564,490.971653520333294490773857,73.028346479666705509226143,1.148742490439200642462009,0.5078023196144335492
38,North Dakota,1,3457915,208,136.609230588305691641187851,71.390769411694308358812149,1.522591109724071968688032,2.0645611419509822641
51,Virginia,1,35616196,1307,1244.706719446060882443706726,62.293280553939117556293274,1.050046552798929101025876,0.1749015547700240575
